Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/01/2021 06:59;01/02/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.400;98.945.262.132;131.292;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";65.644;-11.471.801.080;62.732.361.556;-1.054.811.732;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/02/2021 06:59;01/03/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.743;98.945.260.913;133.316;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";67.669;-11.471.801.778;62.732.363.466;-1.054.812.984;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/03/2021 06:59;01/04/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.093;98.945.269.212;137.872;-65.648;"0° 57' 14.31"" S";"100° 21' 47.20"" E";72.224;-11.471.799.028;62.732.368.739;-1.054.804.762;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/04/2021 06:59;01/05/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.565;98.945.262.661;130.508;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";64.861;-11.471.801.103;62.732.360.765;-1.054.811.189;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS/GLONASS;L1/L2;Static;01/05/2021 06:59;01/06/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.740.816;98.945.261.548;122.515;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";56.868;-11.471.800.893;62.732.352.660;-1.054.812.168;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/06/2021 06:59;01/07/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.334;98.945.261.450;132.048;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";66.400;-11.471.800.166;62.732.362.480;-1.054.812.426;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/07/2021 06:59;01/08/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.751;98.945.261.522;128.524;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";62.875;-11.471.798.958;62.732.359.120;-1.054.812.295;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/08/2021 06:59;01/09/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.756;98.945.263.278;135.066;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";69.418;-11.471.802.112;62.732.365.223;-1.054.810.648;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/09/2021 06:59;01/10/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.982;98.945.261.832;130.548;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.900;-11.471.800.534;62.732.360.895;-1.054.812.019;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/10/2021 06:59;01/11/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.791;98.945.261.175;129.839;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.191;-11.471.799.234;62.732.360.401;-1.054.812.665;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/11/2021 06:59;01/12/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.735;98.945.261.433;132.893;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";67.245;-11.471.799.728;62.732.363.419;-1.054.812.458;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/12/2021 06:59;01/13/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.994;98.945.262.927;130.056;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";64.408;-11.471.800.460;62.732.360.427;-1.054.810.916;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/13/2021 06:59:42;01/14/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.631;98.945.262.714;127.973;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";62.325;-11.471.800.711;62.732.358.260;-1.054.811.094;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/14/2021 06:59:42;01/15/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.238;98.945.260.715;126.054;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.406;-11.471.799.975;62.732.356.411;-1.054.813.061;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/15/2021 06:59:42;01/16/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.311;98.945.260.011;126.850;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.202;-11.471.799.204;62.732.357.349;-1.054.813.778;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/16/2021 06:59:42;01/17/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.707;98.945.262.159;123.771;-65.648;"0° 57' 14.33"" S";"100° 21' 47.20"" E";58.123;-11.471.798.062;62.732.354.464;-1.054.811.579;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/17/2021 06:59:42;01/18/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.086;98.945.261.496;129.800;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.152;-11.471.798.533;62.732.360.495;-1.054.812.343;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/18/2021 06:59:42;01/19/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.435;98.945.262.025;129.970;-65.648;"0° 57' 14.33"" S";"100° 21' 47.20"" E";64.322;-11.471.798.908;62.732.360.608;-1.054.811.817;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/19/2021 06:59:42;01/20/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.020;98.945.260.803;128.265;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";62.617;-11.471.798.190;62.732.358.986;-1.054.813.011;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/20/2021 06:59:42;01/21/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.103;98.945.262.027;128.582;-65.648;"0° 57' 14.33"" S";"100° 21' 47.21"" E";62.934;-11.471.799.317;62.732.359.122;-1.054.811.792;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/21/2021 06:59:42;01/22/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.310;98.945.261.130;128.421;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";62.773;-11.471.798.505;62.732.359.092;-1.054.812.687;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/22/2021 06:59:42;01/23/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.377;98.945.260.729;126.406;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";60.758;-11.471.798.208;62.732.357.092;-1.054.813.053;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/23/2021 06:59:42;01/24/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.356;98.945.261.482;127.722;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";62.074;-11.471.797.442;62.732.358.582;-1.054.812.323;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/24/2021 06:59:42;01/25/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.304;98.945.261.633;129.433;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";63.785;-11.471.799.666;62.732.359.917;-1.054.812.200;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/25/2021 06:59:42;01/26/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.891;98.945.259.825;129.845;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.197;-11.471.798.345;62.732.360.547;-1.054.814.016;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/26/2021 06:59:42;01/27/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.080;98.945.260.621;129.207;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";63.559;-11.471.799.403;62.732.359.719;-1.054.813.208;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/27/2021 06:59:42;01/28/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.239;98.945.261.230;130.638;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.991;-11.471.800.802;62.732.360.928;-1.054.812.622;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/28/2021 06:59:42;01/29/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.445;98.945.260.249;130.325;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.677;-11.471.799.962;62.732.360.747;-1.054.813.599;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/29/2021 06:59:42;01/30/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.041;98.945.260.311;133.950;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";68.302;-11.471.800.216;62.732.364.385;-1.054.813.597;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/30/2021 06:59:42;01/31/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.903;98.945.259.974;130.127;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.479;-11.471.798.408;62.732.360.824;-1.054.813.871;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;01/31/2021 06:59:42;02/01/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.212;98.945.259.841;132.848;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";67.200;-11.471.799.201;62.732.363.443;-1.054.814.049;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/01/2021 06:59;02/02/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.334;98.945.260.109;132.741;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";67.093;-11.471.799.302;62.732.363.320;-1.054.813.779;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/02/2021 06:59;02/03/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.448;98.945.259.851;130.539;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.891;-11.471.799.018;62.732.361.129;-1.054.814.001;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/03/2021 06:59;02/04/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.450;98.945.259.611;130.385;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.737;-11.471.798.992;62.732.360.974;-1.054.814.238;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/04/2021 06:59;02/05/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.113;98.945.259.939;132.236;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";66.588;-11.471.798.994;62.732.362.860;-1.054.813.941;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/05/2021 06:59;02/06/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.244;98.945.259.695;128.578;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.930;-11.471.799.448;62.732.359.055;-1.054.814.124;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/06/2021 06:59;02/07/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.546;98.945.261.512;127.241;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.593;-11.471.800.494;62.732.357.536;-1.054.812.284;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/07/2021 06:59;02/08/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.918;98.945.261.424;130.444;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.796;-11.471.800.451;62.732.360.798;-1.054.812.426;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/08/2021 06:59;02/09/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.342;98.945.260.112;130.734;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";65.086;-11.471.798.949;62.732.361.345;-1.054.813.743;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/09/2021 06:59;02/10/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.837;98.945.259.435;127.532;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";61.883;-11.471.797.875;62.732.358.274;-1.054.814.366;-;-;-;-;0.0000
